Timestamp,Metric,Entity,Value,Algorithm
1765478091.3677053,DROP,Switch1,1,ECMP
1765478091.3705416,DROP,Switch1,1,ECMP
1765478091.372737,BUFFER,Switch1,30,ECMP
1765478091.3727462,DROP,Switch1,1,ECMP
1765478091.374964,DROP,Switch1,1,ECMP
1765478091.3778722,DROP,Switch1,1,ECMP
1765478091.379624,BUFFER,Switch2,0,ECMP
1765478091.3807728,DROP,Switch1,1,ECMP
1765478091.3837261,DROP,Switch1,1,ECMP
1765478091.3844416,BUFFER,Switch1,29,ECMP
1765478091.3865888,DROP,Switch1,1,ECMP
1765478091.3887002,DROP,Switch1,1,ECMP
1765478091.3915808,DROP,Switch1,1,ECMP
1765478091.3941996,BUFFER,Switch2,0,ECMP
1765478091.3951495,DROP,Switch1,1,ECMP
1765478091.3958886,BUFFER,Switch1,29,ECMP
1765478091.3973885,DROP,Switch1,1,ECMP
1765478091.4001772,DROP,Switch1,1,ECMP
1765478091.402997,DROP,Switch1,1,ECMP
1765478091.4065268,DROP,Switch1,1,ECMP
1765478091.407246,BUFFER,Switch1,29,ECMP
1765478091.4084477,BUFFER,Switch2,0,ECMP
1765478091.4087303,DROP,Switch1,1,ECMP
1765478091.4130013,DROP,Switch1,1,ECMP
1765478091.4158678,DROP,Switch1,1,ECMP
1765478091.4187453,BUFFER,Switch1,30,ECMP
1765478091.418758,DROP,Switch1,1,ECMP
1765478091.4222531,BUFFER,Switch2,1,ECMP
1765478091.4353237,BUFFER,Switch2,2,ECMP
1765478091.7665195,BUFFER,Switch2,1,ECMP
1765478091.8675528,BUFFER,Switch1,0,ECMP
1765478091.8794215,BUFFER,Switch1,10,ECMP
1765478091.886764,BUFFER,Switch2,0,ECMP
1765478091.8923945,BUFFER,Switch1,19,ECMP
1765478091.904465,BUFFER,Switch1,28,ECMP
1765478091.9086773,BUFFER,Switch2,0,ECMP
1765478091.923127,BUFFER,Switch2,4,ECMP
1765478092.1168025,BUFFER,Switch2,0,ECMP
1765478092.1171265,BUFFER,Switch1,3,ECMP
1765478092.1289284,BUFFER,Switch1,7,ECMP
1765478092.1314807,BUFFER,Switch2,0,ECMP
1765478092.140597,BUFFER,Switch1,11,ECMP
1765478092.1461773,BUFFER,Switch2,0,ECMP
1765478092.15177,BUFFER,Switch1,16,ECMP
1765478092.160841,BUFFER,Switch2,0,ECMP
1765478092.1631901,BUFFER,Switch1,20,ECMP
1765478092.1747496,BUFFER,Switch2,1,ECMP
1765478092.1870308,BUFFER,Switch2,4,ECMP
1765478092.1957037,BUFFER,Switch1,0,ECMP
1765478092.341959,BUFFER,Switch2,0,ECMP
1765478092.4526172,BUFFER,Switch1,1,ECMP
1765478093.802967,BUFFER,Switch2,0,ECMP
1765478093.8040597,BUFFER,Switch1,2,ECMP
1765478094.2003465,BUFFER,Switch2,0,ECMP
1765478094.604405,BUFFER,Switch1,0,ECMP
1765478094.6135917,BUFFER,Switch1,7,ECMP
1765478094.6162097,BUFFER,Switch2,0,ECMP
1765478094.6195366,BUFFER,Switch1,19,ECMP
1765478094.6240559,DROP,Switch1,1,ECMP
1765478094.624789,DROP,Switch1,1,ECMP
1765478094.6254673,BUFFER,Switch1,29,ECMP
1765478094.6255922,DROP,Switch1,1,ECMP
1765478094.6256328,DROP,Switch1,1,ECMP
1765478094.62567,DROP,Switch1,1,ECMP
1765478094.626409,DROP,Switch1,1,ECMP
1765478094.6271625,DROP,Switch1,1,ECMP
1765478094.627255,DROP,Switch1,1,ECMP
1765478094.6279633,DROP,Switch1,1,ECMP
1765478094.628038,DROP,Switch1,1,ECMP
1765478094.6287405,DROP,Switch1,1,ECMP
1765478094.6288154,DROP,Switch1,1,ECMP
1765478094.6295435,DROP,Switch1,1,ECMP
1765478094.629611,DROP,Switch1,1,ECMP
1765478094.6303012,DROP,Switch1,1,ECMP
1765478094.6309848,BUFFER,Switch1,29,ECMP
